,CNS,amnioserosa,epidermis,fat body,foregut,hindgut,midgut,muscle,oenocyte,plasmatocytes,proventriculus,salivary gland,sensory nervous system,tracheal system,ubiquitous,yolk nuclei
E16-18h_a_S06_4100x113940-slice5,3.447585e-21,3.676675e-21,0.96522105,1.11843566e-08,3.460896e-12,3.9626548e-21,0.034632027,2.9572006e-21,7.553157e-11,5.1973196e-21,6.033459e-10,7.92252e-09,3.876771e-21,3.4212905e-21,0.00014690461,9.093864e-19
E16-18h_a_S06_4100x113960-slice5,2.7554823e-23,2.610391e-23,0.98573744,1.5130863e-07,3.028701e-12,2.099197e-23,0.014261337,5.070367e-24,2.3590582e-14,3.8081067e-23,7.0429516e-11,3.6610874e-09,2.5328684e-23,2.1013202e-23,1.0723102e-06,1.1710582e-20
E16-18h_a_S06_4100x113980-slice5,1.3434279e-16,1.01080895e-16,0.76049715,2.172445e-09,1.4367223e-06,5.8416845e-17,0.14439616,3.9154485e-17,6.2202126e-08,1.2824801e-16,1.5073012e-06,9.786683e-06,9.1049054e-17,7.222465e-17,0.09509385,4.9939373e-15
E16-18h_a_S06_4100x114000-slice5,2.973251e-14,2.0073637e-14,0.50050575,8.26441e-07,0.005349427,7.223965e-15,0.121772535,1.9109868e-15,3.3037324e-09,2.3617317e-14,7.5924027e-07,5.304622e-06,1.6032972e-14,1.3654791e-14,0.3723654,2.3254635e-13
E16-18h_a_S06_4100x114020-slice5,8.013879e-15,5.762368e-15,0.5434283,1.3320995e-08,0.00015031031,3.297771e-15,0.20466462,2.759346e-15,1.2836592e-06,6.694774e-15,3.688736e-07,6.70933e-05,5.103073e-15,4.1886194e-15,0.25168797,1.2571925e-13
E16-18h_a_S06_4100x114040-slice5,6.108804e-13,4.864515e-13,0.5036664,0.010376958,0.004551479,2.58116e-13,0.08356297,9.310973e-14,2.5766855e-08,6.2993046e-13,8.162072e-08,8.802613e-07,4.1980994e-13,3.970392e-13,0.3978412,6.2774313e-12
E16-18h_a_S06_4120x113700-slice5,8.170308e-15,6.950774e-15,0.481083,8.588274e-06,1.9505055e-06,4.930445e-15,0.082263134,3.2518584e-15,3.8353846e-07,1.02595765e-14,3.225964e-06,0.0095699,6.5295237e-15,5.784319e-15,0.42706978,4.047432e-13
E16-18h_a_S06_4120x113720-slice5,4.5927275e-16,4.1802264e-16,0.5124828,0.030805161,3.663787e-08,3.1023003e-16,2.0632748e-07,1.3844264e-16,1.464326e-07,8.934203e-16,4.5207858e-07,1.0378029e-06,4.330446e-16,3.934547e-16,0.4567102,1.0233649e-14
E16-18h_a_S06_4120x113740-slice5,1.9374382e-15,2.2462678e-15,0.7255824,0.034793112,9.691551e-08,2.864244e-15,2.6180569e-05,1.0483921e-15,1.6488382e-09,3.839206e-15,6.7807077e-10,7.117851e-07,2.4883086e-15,2.7490685e-15,0.23959742,4.613345e-14
E16-18h_a_S06_4120x113760-slice5,6.294164e-18,7.044371e-18,0.6315311,0.025790313,1.0639704e-08,8.4751205e-18,0.04228379,3.267687e-18,8.7779315e-12,1.26746586e-17,1.2219724e-11,1.0293771e-07,7.148292e-18,7.45864e-18,0.3003947,1.18969e-15
E16-18h_a_S06_4120x113780-slice5,2.169901e-14,2.1021496e-14,0.76567584,0.011387143,1.0052401e-05,1.7833057e-14,2.35118e-06,4.9133273e-15,7.9989176e-10,3.1445488e-14,1.361301e-08,1.0648182e-06,2.1942651e-14,2.264074e-14,0.22292362,1.3823975e-13
